name,age,gender,user_name,monster_card,monster_description,price
Grant,60,male,william41,shadow-demon,monstrosity,19.29
Jose,59,male,joelsalinas,bugbear-chief,humanoid (sahuagin),1.91
Levi,17,male,jessica82,imix,humanoid (any race),15.88
Jesse,54,male,brittney82,minotaur-skeleton,undead,1.9
Bryce,26,male,oscarsmith,hobgoblin-warlord,undead,18.6
Brad,69,male,clawrence,swarm-of-poisonous-snakes,beast,7.73
Matthew,71,male,johnsonvicki,hobgoblin-warlord,"monstrosity (shapechanger, yuan-ti)",12.24
Mark,70,male,jonesmiguel,werewolf,monstrosity,10.51
Joseph,12,male,leeolivia,bugbear-chief,beast,1.63
Brian,22,male,patelkathy,imix,plant,6.81
Franklin,56,male,jonathan09,owlbear,fiend (demon),2.81
Thomas,71,male,christophercarter,minotaur-skeleton,humanoid,8.41
Derrick,35,male,lozanoandrew,bugbear-chief,humanoid,2.16
Wesley,47,male,kimberlyyoung,shadow-demon,"fiend (demon, shapechanger)",3.97
James,21,male,jacqueline43,giant-constrictor-snake,swarm of Tiny beasts,17.74
Jason,25,male,tina44,shadow-demon,humanoid (troglodyte),8.47
Alexander,75,male,robert10,hobgoblin-warlord,celestial,11.62
Daniel,4,male,luislane,shadow-demon,humanoid (yuan-ti),17.41
Matthew,22,male,robin86,swarm-of-poisonous-snakes,humanoid (elf),3.83
Justin,11,male,greenemichelle,warhorse-skeleton,fiend (devil),4.19
Richard,57,male,taylorrebecca,magmin,ooze,1.64
Arthur,56,male,vargasdiana,mummy-lord,fiend (devil),13.59
Arthur,8,male,cortiz,wight,monstrosity,5.02
Jaime,27,male,knguyen,minotaur-skeleton,monstrosity,8.1
Mitchell,36,male,barnettbruce,swarm-of-poisonous-snakes,humanoid (any race),14.47
John,44,male,jessica82,imix,"monstrosity (shapechanger, yuan-ti)",1.52
Matthew,77,male,robin86,drow,fiend (devil),13.8
Aaron,68,male,robert10,imix,fiend,14.31
Rodney,27,male,clawrence,hobgoblin-warlord,elemental,16.13
Manuel,55,male,linda70,werewolf,aberration,3.33
Michael,43,male,garydavies,warhorse-skeleton,fiend (devil),16.62
Sean,55,male,uharris,swarm-of-poisonous-snakes,fiend (demon),1.94
Robert,61,male,christophercarter,archmage,swarm of Tiny beasts,2.29
Bryan,28,male,ytapia,darkling-elder,fiend (demon),12.8
Donald,74,male,oscarsmith,tyrannosaurus-rex,aberration,10.46
Justin,64,male,gramirez,spy,humanoid (kuo-toa),12.1
Tracy,71,male,gonzalezveronica,mummy-lord,humanoid (goblinoid),10.45
David,64,male,gomezeric,spy,plant,12.19
Edward,17,male,myersmark,galeb-duhr,plant,15.57
Richard,72,male,sheilabarker,darkling-elder,monstrosity (shapechanger),7.24
Arthur,48,male,sheilabarker,giant-constrictor-snake,beast,12.01
Patrick,74,male,trevorwilliams,bugbear-chief,plant,8.21
Eddie,59,male,myersmark,magmin,monstrosity,1.79
Michael,39,male,brittney82,archmage,humanoid (any race),14.64
Glenn,25,male,kimberlyyoung,mummy-lord,humanoid (any race),6.33
John,23,male,amanda97,drow,monstrosity,10.34
Mark,14,male,nbernard,werewolf,aberration,12.58
Andrew,34,male,cortiz,mummy-lord,humanoid (human),12.12
Jason,71,male,ghumphrey,drow,aberration,12.57
Stephen,72,male,jonesmiguel,shadow-demon,humanoid (any race),1.65
Patrick,17,male,oscarsmith,werewolf,humanoid (elf),3.15
Daniel,62,male,jonesmiguel,darkling-elder,humanoid (human),2.93
Nicholas,38,male,clawrence,warhorse-skeleton,beast,7.03
Richard,46,male,hscott,bugbear-chief,humanoid (any race),6.51
Adam,70,male,trevorwilliams,werewolf,beast,17.23
Steven,74,male,nbernard,minotaur-skeleton,humanoid (any race),9.95
Joseph,69,male,jonesmiguel,werewolf,beast,4.72
Martin,29,male,richardsonlaura,giant-constrictor-snake,humanoid (gnoll),1.17
John,49,male,carlawatson,wight,giant,12.67
Dominic,39,male,amanda97,bugbear-chief,humanoid (orc),5.68
Nicholas,24,male,brandy94,hobgoblin-warlord,humanoid (any race),3.6
Zachary,6,male,sheilabarker,minotaur-skeleton,beast,15.38
Kevin,58,male,johnsonvicki,spy,humanoid (elf),6.32
Anthony,15,male,stephanieharris,archmage,beast,17.06
Larry,15,male,jacqueline43,young-kruthik,humanoid (human),5.06
Jay,76,male,schmidtmary,young-kruthik,undead,16.89
Trevor,77,male,williamsfrederick,young-kruthik,humanoid (any race),4.24
Jeremy,40,male,gomezeric,tyrannosaurus-rex,humanoid (gnoll),17.91
William,15,male,glopez,giant-constrictor-snake,dragon,1.98
Steven,77,male,manueladams,owlbear,fiend (demon),18.96
Andrew,12,male,hscott,werewolf,beast,3.97
Mark,17,male,connerruth,giant-constrictor-snake,fey,14.45
Dennis,14,male,williamsfrederick,hobgoblin-warlord,fiend (devil),9.59
Daniel,46,male,barnettbruce,tyrannosaurus-rex,humanoid (gith),17.08
Larry,19,male,sheilabarker,warhorse-skeleton,humanoid (gith),16.01
Theodore,34,male,connerruth,drow,"humanoid (human, shapechanger)",17.24
Robert,5,male,glopez,darkling-elder,humanoid (sahuagin),5.44
Alexander,32,male,manueladams,spy,monstrosity,4.83
Matthew,65,male,ryan81,archmage,beast,18.28
Nicholas,15,male,paynejennifer,owlbear,giant (stone giant),11.4
George,75,male,ytapia,minotaur-skeleton,undead,7.85
Timothy,11,male,johnsonvicki,swarm-of-poisonous-snakes,humanoid (gith),19.77
William,59,male,knguyen,hobgoblin-warlord,monstrosity,14.64
Bobby,50,male,greenemichelle,warhorse-skeleton,fey (elf),11.21
Brian,6,male,nbernard,magmin,construct,16.1
Jesse,62,male,linda70,hobgoblin-warlord,giant,2.66
Andres,35,male,paynejennifer,mummy-lord,humanoid (elf),14.71
Jamie,48,male,linda70,shadow-demon,beast,10.38
James,75,male,marysanders,galeb-duhr,humanoid (kobold),9.82
Rodney,40,male,brandy94,hobgoblin-warlord,plant,8.45
Paul,77,male,edwardstricia,tyrannosaurus-rex,elemental,8.95
Nicholas,71,male,manueladams,minotaur-skeleton,undead (titan),3.99
Matthew,15,male,christophercarter,owlbear,humanoid (grimlock),10.88
Rodney,58,male,joelsalinas,imix,ooze,13.19
George,73,male,jhernandez,minotaur-skeleton,beast,19.91
Antonio,55,male,oscarsmith,darkling-elder,humanoid (human),6.3
Jason,34,male,nbernard,young-kruthik,humanoid (dwarf),15.77
Jason,34,male,kimberlyyoung,tyrannosaurus-rex,elemental,9.7
Matthew,70,male,linda70,shadow-demon,undead (shapechanger),4.91
Jeremy,61,male,gonzalezveronica,darkling-elder,fiend (gnoll),16.17
Wayne,58,male,williamsfrederick,drow,monstrosity,8.21
Michael,34,male,michelle32,minotaur-skeleton,humanoid (any race),16.4
Jorge,51,male,lee93,swarm-of-poisonous-snakes,beast,3.5
Jack,43,male,myersmark,bugbear-chief,monstrosity,9.12
Jonathan,12,male,clawrence,wight,fiend (demon),9.52
Travis,32,male,uharris,owlbear,beast,10.01
Kenneth,68,male,trevorwilliams,spy,dragon,11.92
Gabriel,51,male,uharris,shadow-demon,undead,3.73
Victor,54,male,myersmark,owlbear,fiend (demon),12.64
Keith,56,male,ricardocunningham,drow,monstrosity,2.0
John,22,male,robin86,galeb-duhr,humanoid (any race),16.08
Scott,71,male,brandy94,magmin,construct,12.88
Derrick,44,male,knguyen,archmage,humanoid (human),11.73
Ian,53,male,bethanybailey,hobgoblin-warlord,humanoid (orc),1.16
John,9,male,taylorrebecca,minotaur-skeleton,humanoid (gith),8.3
Wesley,76,male,wleonard,drow,humanoid (orc),3.2
Charles,30,male,leeolivia,young-kruthik,humanoid (any race),12.21
Tyler,8,male,gonzalezveronica,imix,undead (shapechanger),10.67
Sean,41,male,zestrada,imix,fiend,16.47
Donald,16,male,williamsfrederick,werewolf,beast,16.18
Scott,46,male,linda70,imix,fiend (devil),5.18
Terry,78,male,heather05,hobgoblin-warlord,monstrosity,15.25
Stephen,74,male,garydavies,werewolf,construct,13.72
Jesus,75,male,linda70,hobgoblin-warlord,beast,17.16
Kent,47,male,leeolivia,archmage,fey (elf),4.17
Derrick,43,male,williamsfrederick,young-kruthik,giant,19.02
Brandon,62,male,amanda97,warhorse-skeleton,undead,7.76
Kenneth,69,male,christophercarter,giant-constrictor-snake,humanoid (any race),8.67
Russell,21,male,jessica82,galeb-duhr,beast,17.39
John,18,male,kimberlyyoung,werewolf,construct,13.47
Frank,14,male,connerruth,mummy-lord,humanoid (kuo-toa),19.07
Joseph,42,male,jacqueline43,minotaur-skeleton,dragon,5.31
Brian,24,male,maryhall,werewolf,construct,12.98
Joshua,26,male,jhernandez,hobgoblin-warlord,plant,14.71
David,77,male,gomezeric,spy,giant,18.7
Daniel,38,male,glopez,hobgoblin-warlord,fiend (demon),13.63
Brendan,60,male,leeolivia,archmage,ooze,11.33
Robert,80,male,jhernandez,giant-constrictor-snake,humanoid (elf),14.25
Randy,4,male,vargasdiana,darkling-elder,plant,19.3
Mitchell,67,male,nbernard,spy,swarm of Tiny beasts,11.42
Scott,7,male,sheilabarker,young-kruthik,beast,15.89
Robert,55,male,ryan81,galeb-duhr,humanoid (shapechanger),8.46
Michael,77,male,sheilabarker,galeb-duhr,giant,15.23
Craig,3,male,johnsonvicki,wight,fey,4.33
Ruben,42,male,cortiz,imix,aberration,7.3
William,34,male,carrie58,werewolf,aberration,11.65
Stanley,77,male,iswanson,swarm-of-poisonous-snakes,monstrosity,13.37
Phillip,33,male,vargasdiana,galeb-duhr,monstrosity,19.31
Matthew,20,male,kimberlyyoung,spy,undead,12.78
Gregory,31,male,schmidtmary,young-kruthik,swarm of Tiny beasts,18.36
Douglas,6,male,lozanoandrew,drow,humanoid (any race),11.53
Jose,74,male,leeolivia,bugbear-chief,humanoid (any race),18.01
Matthew,13,male,heather05,wight,plant,4.31
Andrew,75,male,hscott,hobgoblin-warlord,humanoid (dwarf),15.19
John,43,male,knguyen,wight,monstrosity,4.04
Andrew,36,male,bethanybailey,spy,fiend (demon),16.22
Alexander,48,male,heather05,archmage,beast,17.7
Brian,50,male,christophercarter,owlbear,beast,1.21
Steven,10,male,leeolivia,imix,beast,16.1
Christopher,56,male,johnsonvicki,tyrannosaurus-rex,swarm of Tiny beasts,4.82
Joseph,22,male,william41,darkling-elder,beast,9.42
Jeffrey,22,male,manueladams,wight,monstrosity,11.2
Kyle,79,male,uharris,archmage,beast,11.73
Robert,26,male,lozanoandrew,warhorse-skeleton,humanoid (any race),15.81
Christopher,64,male,leeolivia,tyrannosaurus-rex,fey,6.95
Johnathan,49,male,iswanson,magmin,beast,3.62
Benjamin,66,male,bethanybailey,hobgoblin-warlord,undead,17.57
William,18,male,trevorwilliams,wight,humanoid (elf),1.05
Billy,65,male,bethanybailey,wight,humanoid (orc),1.58
Craig,58,male,stephanieharris,imix,aberration,13.11
Jesus,27,male,brittney82,young-kruthik,humanoid (dwarf),7.6
Joel,16,male,jacqueline43,hobgoblin-warlord,plant,12.92
Brian,22,male,iswanson,swarm-of-poisonous-snakes,beast,14.14
Michael,6,male,schmidtmary,owlbear,plant,14.11
James,27,male,jacqueline43,warhorse-skeleton,beast,11.47
Thomas,50,male,sheilabarker,magmin,fey (elf),12.96
Douglas,43,male,nbernard,darkling-elder,dragon,2.94
Benjamin,77,male,nbernard,tyrannosaurus-rex,humanoid (any race),1.05
Tyler,12,male,myersmark,magmin,humanoid (goblinoid),18.08
Andrew,13,male,ytapia,young-kruthik,aberration,18.78
Joseph,50,male,carlawatson,swarm-of-poisonous-snakes,fiend (demon),1.16
Eric,16,male,connerruth,magmin,fiend (devil),14.98
Shaun,75,male,ryan81,werewolf,beast,3.94
Christian,29,male,jhernandez,wight,humanoid (any race),1.26
David,80,male,cortiz,young-kruthik,fey,5.63
Michael,47,male,maryhall,darkling-elder,fiend (demon),17.18
Joseph,23,male,carlawatson,swarm-of-poisonous-snakes,fiend (demon),3.33
Frederick,70,male,nbernard,swarm-of-poisonous-snakes,humanoid (any race),17.69
David,71,male,garydavies,drow,aberration,16.17
Jeremy,45,male,bethanybailey,imix,"monstrosity (shapechanger, yuan-ti)",8.34
Joseph,44,male,brittney82,owlbear,monstrosity,6.86
Timothy,44,male,marysanders,warhorse-skeleton,fiend (devil),12.55
James,60,male,wleonard,warhorse-skeleton,plant,13.05
Bruce,73,male,johnsonvicki,swarm-of-poisonous-snakes,"monstrosity (shapechanger, yuan-ti)",2.09
Thomas,18,male,ytapia,imix,aberration,18.37
Robert,51,male,ryan81,bugbear-chief,dragon,12.94
Michael,55,male,manueladams,bugbear-chief,beast,5.36
Antonio,43,male,barnettbruce,werewolf,fiend (demon),2.71
Kenneth,42,male,maryhall,werewolf,fiend (yugoloth),1.79
James,12,male,linda70,tyrannosaurus-rex,humanoid (any race),17.7
David,70,male,kennethwilkinson,minotaur-skeleton,fiend (demon),2.57
Steven,37,male,paynejennifer,mummy-lord,plant,3.0
Paul,79,male,schmidtmary,darkling-elder,undead,15.15
Robert,9,male,kimberlyyoung,giant-constrictor-snake,beast,18.48
Colton,14,male,lozanoandrew,drow,monstrosity,10.48
Chad,10,male,marysanders,archmage,beast,4.53
Timothy,68,male,ytapia,imix,humanoid (elf),11.09
Michael,36,male,robert10,bugbear-chief,beast,19.57
Adrian,28,male,connerruth,owlbear,humanoid (grung),3.23
Eric,18,male,greenemichelle,hobgoblin-warlord,humanoid (elf),17.16
Joseph,16,male,kimberlyyoung,wight,undead,17.69
Carlos,21,male,schmidtmary,shadow-demon,undead,8.62
Keith,74,male,jessica82,tyrannosaurus-rex,dragon,1.99
Edward,80,male,jonathan09,magmin,beast,10.62
Ethan,75,male,uharris,bugbear-chief,aberration,13.89
Jerry,49,male,jessica82,swarm-of-poisonous-snakes,humanoid (human),14.09
David,28,male,barnettbruce,owlbear,dragon,4.37
Philip,23,male,bethanybailey,spy,celestial,9.2
Joshua,13,male,sheilabarker,spy,humanoid (any race),16.76
Jeffrey,77,male,lozanoandrew,swarm-of-poisonous-snakes,elemental,18.49
Cesar,54,male,paynejennifer,archmage,dragon,10.91
Evan,7,male,sheilabarker,swarm-of-poisonous-snakes,construct (inevitable),2.97
Charles,53,male,brittney82,imix,aberration,12.24
Robert,61,male,jonathan09,darkling-elder,giant,8.11
Gary,21,male,hscott,tyrannosaurus-rex,monstrosity,14.24
Christopher,46,male,ricardocunningham,archmage,"humanoid (human, shapechanger)",1.51
Daniel,26,male,heather05,mummy-lord,construct,14.29
David,19,male,kennethwilkinson,bugbear-chief,undead,17.86
Isaac,16,male,uharris,swarm-of-poisonous-snakes,elemental,13.98
Robert,25,male,jonathan09,hobgoblin-warlord,humanoid (elf),8.99
Mark,24,male,iswanson,magmin,humanoid (any race),11.65
Duane,31,male,garydavies,giant-constrictor-snake,beast,9.67
William,17,male,garydavies,galeb-duhr,beast,3.67
Joseph,20,male,marysanders,darkling-elder,humanoid (gith),19.57
Bobby,40,male,linda70,drow,beast,8.8
James,9,male,lozanoandrew,werewolf,undead,2.9
James,18,male,taylorrebecca,warhorse-skeleton,celestial,4.1
Danny,75,male,sheilabarker,werewolf,undead,11.7
Ryan,55,male,carlawatson,tyrannosaurus-rex,beast,19.41
Ian,20,male,gramirez,young-kruthik,fiend (devil),19.3
David,77,male,wleonard,giant-constrictor-snake,monstrosity,2.1
Chad,3,male,jonathan09,young-kruthik,dragon,1.37
Chad,71,male,tina44,werewolf,beast,17.42
Vincent,74,male,williamsfrederick,warhorse-skeleton,humanoid (any race),4.46
Scott,38,male,amanda97,bugbear-chief,dragon,7.92
Jesus,79,male,hscott,magmin,humanoid (nagpa),12.18
Jeffrey,13,male,knguyen,warhorse-skeleton,construct,15.0
James,68,male,brittney82,werewolf,construct,3.64
James,47,male,garydavies,warhorse-skeleton,humanoid (goblinoid),17.4
Benjamin,28,male,heather05,werewolf,humanoid (lizardfolk),19.3
Eric,8,male,gomezeric,werewolf,humanoid (human),16.42
Larry,5,male,gramirez,minotaur-skeleton,undead,17.53
Anthony,22,male,jacqueline43,imix,elemental,18.2
Angel,50,male,stephanieharris,drow,dragon,16.6
Michael,11,male,marysanders,darkling-elder,monstrosity,16.6
Barry,21,male,tina44,wight,plant,6.06
Mitchell,38,male,leeolivia,young-kruthik,dragon,5.42
David,26,male,johnsonvicki,mummy-lord,humanoid (gith),16.33
Cody,44,male,uharris,owlbear,beast,19.69
Michael,77,male,myersmark,galeb-duhr,humanoid (orc),1.96
Billy,28,male,amanda97,young-kruthik,beast,5.94
Paul,71,male,knguyen,archmage,beast,11.44
Paul,63,male,christophercarter,bugbear-chief,undead,2.4
Kevin,28,male,kimberlyyoung,owlbear,aberration,4.42
Jacob,50,male,nbernard,galeb-duhr,humanoid (orc),7.85
Charles,21,male,uharris,wight,humanoid (gith),18.91
Jeremy,53,male,gomezeric,spy,humanoid (any race),16.01
Brett,38,male,glopez,owlbear,humanoid (elf),7.73
Randall,68,male,ytapia,wight,beast,5.53
Jeremy,70,male,robert10,hobgoblin-warlord,plant,12.09
John,54,male,johnsonvicki,bugbear-chief,humanoid (any race),4.76
Jeremy,51,male,ryan81,hobgoblin-warlord,beast,13.83
Joseph,33,male,manueladams,minotaur-skeleton,aberration,9.86
Charles,32,male,myersmark,darkling-elder,humanoid (any race),11.46
Joseph,41,male,leeolivia,drow,monstrosity,13.6
William,20,male,clawrence,wight,monstrosity,18.6
Robert,77,male,richardsonlaura,spy,dragon,4.53
Daniel,78,male,garydavies,drow,fey (elf),17.44
Tristan,50,male,bethanybailey,hobgoblin-warlord,fiend (demon),5.95
Jonathan,46,male,glopez,imix,beast,15.95
David,32,male,marysanders,drow,beast,9.05
Stephen,6,male,patelkathy,swarm-of-poisonous-snakes,humanoid (orc),2.37
Cameron,61,male,luislane,warhorse-skeleton,aberration (shapechanger),9.73
Henry,80,male,stephanieharris,magmin,dragon,13.04
Aaron,60,male,tina44,darkling-elder,giant,10.23
Scott,16,male,jacqueline43,giant-constrictor-snake,swarm of Tiny beasts,11.62
Angel,17,male,vargasdiana,wight,construct,19.13
Charles,70,male,kennethwilkinson,owlbear,beast,6.25
Ronald,19,male,wleonard,spy,giant,6.98
Thomas,17,male,patelkathy,tyrannosaurus-rex,beast,13.28
Peter,34,male,jessica82,archmage,dragon,15.07
Daniel,8,male,brandy94,werewolf,beast,12.92
Peter,4,male,gramirez,drow,construct,8.07
Erik,16,male,linda70,minotaur-skeleton,humanoid (gith),2.57
George,37,male,richardsonlaura,spy,fiend (demon),3.24
Mark,66,male,tina44,young-kruthik,elemental,12.85
James,6,male,robert10,werewolf,monstrosity,12.28
Austin,60,male,vargasdiana,spy,beast,19.75
Donald,20,male,barnettbruce,warhorse-skeleton,dragon,14.07
Mario,32,male,gomezeric,hobgoblin-warlord,humanoid (tabaxi),17.93
Steven,37,male,gramirez,owlbear,beast,9.21
James,20,male,jonesmiguel,shadow-demon,beast,18.8
Carlos,55,male,williamsfrederick,warhorse-skeleton,beast,12.97
Andres,45,male,brittney82,young-kruthik,giant,8.89
Roy,15,male,tina44,spy,"fiend (devil, shapechanger)",2.53
Joseph,46,male,gomezeric,swarm-of-poisonous-snakes,plant,13.14
Andrew,65,male,bethanybailey,minotaur-skeleton,giant (storm giant),9.3
Christian,74,male,jonesmiguel,mummy-lord,fiend (devil),16.89
Jeffrey,52,male,ryan81,archmage,beast,2.41
Matthew,69,male,manueladams,imix,beast,16.34
Joseph,37,male,lozanoandrew,drow,dragon,5.25
Steven,79,male,ytapia,magmin,dragon,9.33
Kent,11,male,brittney82,young-kruthik,giant,14.92
Ryan,80,male,richardsonlaura,galeb-duhr,fiend (demon),16.44
Ronald,66,male,barnettbruce,galeb-duhr,humanoid (any race),12.02
Kevin,61,male,uharris,darkling-elder,humanoid (shapechanger),16.96
Jeffrey,14,male,glopez,tyrannosaurus-rex,fiend (devil),1.71
Eric,53,male,clawrence,swarm-of-poisonous-snakes,undead,6.26
Erik,78,male,patelkathy,bugbear-chief,beast,10.44
Logan,37,male,gomezeric,imix,monstrosity,10.67
Nicholas,76,male,jessica82,drow,fiend (devil),17.74
Nathaniel,26,male,ghumphrey,drow,humanoid (bullywug),15.13
Christopher,73,male,carrie58,owlbear,beast,18.64
Justin,3,male,heather05,shadow-demon,monstrosity,11.4
Hunter,72,male,jessica82,werewolf,plant,2.69
Jermaine,32,male,myersmark,owlbear,beast,13.47
Travis,29,male,zestrada,darkling-elder,undead,13.27
Zachary,80,male,kennethwilkinson,warhorse-skeleton,monstrosity,1.96
Joseph,45,male,ryan81,shadow-demon,aberration,3.93
Thomas,54,male,joelsalinas,hobgoblin-warlord,humanoid (elf),10.18
Jermaine,30,male,hscott,giant-constrictor-snake,fiend (devil),16.48
Lawrence,32,male,williamsfrederick,owlbear,fiend (demon),19.4
Phillip,40,male,bethanybailey,giant-constrictor-snake,fiend (demon),4.75
David,46,male,iswanson,bugbear-chief,undead,18.52
Bruce,30,male,marysanders,minotaur-skeleton,fiend (demon),1.47
Joseph,34,male,knguyen,darkling-elder,giant,2.37
Daniel,12,male,jonathan09,mummy-lord,elemental,6.01
Willie,32,male,taylorrebecca,magmin,humanoid (goblinoid),19.32
Kyle,5,male,nbernard,imix,humanoid (merfolk),18.44
Matthew,16,male,manueladams,spy,dragon,16.74
Dennis,12,male,ghumphrey,warhorse-skeleton,fiend (devil),1.86
Brian,28,male,joelsalinas,archmage,humanoid (shapechanger),5.58
Robert,50,male,greenemichelle,mummy-lord,beast,15.17
Timothy,65,male,lozanoandrew,shadow-demon,monstrosity,5.29
Jacob,80,male,stephanieharris,bugbear-chief,giant,15.24
Brett,30,male,ricardocunningham,tyrannosaurus-rex,humanoid (elf),12.19
Steven,71,male,maryhall,galeb-duhr,celestial,17.11
Jacob,25,male,william41,werewolf,giant,13.9
Eric,54,male,brittney82,drow,dragon,15.32
Oscar,4,male,carlawatson,tyrannosaurus-rex,undead,15.19
Jeremy,63,male,myersmark,tyrannosaurus-rex,humanoid (any race),8.72
Brian,39,male,johnsonvicki,shadow-demon,dragon,12.55
Dustin,73,male,barnettbruce,magmin,elemental,14.83
Mark,39,male,hscott,hobgoblin-warlord,beast,11.69
Manuel,75,male,brittney82,imix,humanoid (any race),5.75
Jonathan,72,male,nbernard,wight,plant,12.13
Peter,71,male,gaillowe,young-kruthik,"monstrosity (shapechanger, yuan-ti)",16.55
Timothy,36,male,tina44,owlbear,humanoid (any race),9.63
Todd,44,male,tina44,spy,fiend (demon),15.35
Scott,7,male,williamsfrederick,minotaur-skeleton,aberration,2.72
Anthony,59,male,manueladams,swarm-of-poisonous-snakes,monstrosity,19.14
Michael,41,male,kimberlyyoung,galeb-duhr,monstrosity,16.39
Ryan,77,male,trevorwilliams,warhorse-skeleton,beast,2.5
Travis,44,male,michelle32,shadow-demon,humanoid (thri-kreen),15.16
Andrew,76,male,wleonard,minotaur-skeleton,humanoid (gnoll),19.61
Ryan,63,male,ricardocunningham,swarm-of-poisonous-snakes,beast,8.93
Neil,75,male,gramirez,young-kruthik,fiend (demon),15.75
Mark,72,male,tina44,warhorse-skeleton,elemental,6.05
Scott,46,male,gramirez,mummy-lord,beast,19.11
Darrell,47,male,patelkathy,bugbear-chief,beast,5.66
Stephen,34,male,hscott,imix,fiend (yugoloth),5.57
Michael,63,male,myersmark,magmin,fey,12.31
Richard,70,male,brittney82,drow,dragon,18.89
Jonathan,73,male,johnsonvicki,archmage,beast,2.86
Stephen,18,male,jonathan09,darkling-elder,elemental,15.46
Kevin,56,male,heather05,galeb-duhr,beast,4.18
Bryan,69,male,marysanders,swarm-of-poisonous-snakes,fiend (demon),8.88
Daniel,16,male,edwardstricia,magmin,undead,6.97
Gregory,36,male,sheilabarker,drow,humanoid (thri-kreen),14.44
Jeffrey,45,male,marysanders,magmin,humanoid (any race),16.42
Andres,67,male,trevorwilliams,wight,fiend,19.95
Joshua,42,male,vargasdiana,swarm-of-poisonous-snakes,humanoid (any race),14.24
Paul,18,male,jessica82,giant-constrictor-snake,undead,4.55
Richard,41,male,jonathan09,swarm-of-poisonous-snakes,fey,2.99
Jacob,23,male,oscarsmith,drow,humanoid (any race),3.66
James,32,male,jhernandez,swarm-of-poisonous-snakes,beast,10.19
Samuel,62,male,taylorrebecca,owlbear,dragon,10.16
Francis,40,male,ryan81,mummy-lord,"monstrosity (shapechanger, yuan-ti)",2.28
Christopher,27,male,bethanybailey,owlbear,beast,9.66
Jason,22,male,maryhall,spy,dragon,1.91
Adrian,78,male,ytapia,bugbear-chief,aberration,14.9
John,12,male,richardsonlaura,young-kruthik,fiend (devil),19.12
Joseph,16,male,paynejennifer,darkling-elder,fey,6.13
Kenneth,22,male,barnettbruce,young-kruthik,giant,7.89
Gordon,61,male,connerruth,werewolf,beast,16.83
Trevor,68,male,ghumphrey,warhorse-skeleton,monstrosity,17.21
Matthew,31,male,jonesmiguel,warhorse-skeleton,fey,10.25
Joshua,69,male,wleonard,archmage,beast,1.41
Jack,5,male,luislane,werewolf,humanoid (gith),18.86
Nathaniel,23,male,edwardstricia,galeb-duhr,undead,6.01
Clifford,54,male,heather05,young-kruthik,beast,8.06
Raymond,17,male,luislane,young-kruthik,elemental,6.41
Todd,58,male,joelsalinas,drow,elemental,10.37
Michael,54,male,myersmark,mummy-lord,humanoid (elf),6.34
Christopher,63,male,gomezeric,hobgoblin-warlord,fiend (devil),4.72
Michael,64,male,connerruth,magmin,humanoid (any race),5.43
Tyler,48,male,marysanders,young-kruthik,swarm of Tiny beasts,13.34
Stephen,7,male,william41,archmage,fiend (devil),3.51
Timothy,65,male,jonesmiguel,bugbear-chief,giant,2.49
Rodney,43,male,schmidtmary,werewolf,beast,2.4
Greg,78,male,wleonard,spy,fey (elf),11.86
Kevin,38,male,edwardstricia,tyrannosaurus-rex,humanoid (any race),15.07
Joseph,78,male,trevorwilliams,warhorse-skeleton,undead,9.5
Brian,52,male,wleonard,minotaur-skeleton,giant,8.79
Thomas,53,male,heather05,young-kruthik,aberration,15.02
Johnathan,80,male,luislane,young-kruthik,humanoid (any race),19.72
Mark,32,male,oscarsmith,young-kruthik,aberration,10.22
Roberto,69,male,myersmark,mummy-lord,humanoid (any race),1.84
Jeff,78,male,jacqueline43,wight,undead,6.8
Richard,63,male,connerruth,giant-constrictor-snake,aberration,18.24
Antonio,47,male,heather05,imix,beast,11.15
Jason,37,male,patelkathy,spy,elemental,11.84
William,64,male,amanda97,wight,dragon,5.12
William,28,male,iswanson,bugbear-chief,fey,10.45
Ryan,60,male,marysanders,owlbear,humanoid (tabaxi),12.88
Jason,12,male,patelkathy,archmage,dragon,13.03
Michael,31,male,trevorwilliams,giant-constrictor-snake,humanoid (elf),7.14
Tony,70,male,lozanoandrew,shadow-demon,beast,16.95
Matthew,30,male,paynejennifer,owlbear,humanoid (orc),17.59
Larry,74,male,greenemichelle,drow,fiend (shapechanger),3.95
Gary,76,male,leeolivia,young-kruthik,humanoid (any race),5.73
Joseph,52,male,hscott,darkling-elder,humanoid,14.43
Brian,37,male,jonathan09,young-kruthik,"fiend (demon, shapechanger)",7.23
Cody,28,male,johnsonvicki,swarm-of-poisonous-snakes,fiend (demon),9.9
Robert,3,male,jessica82,bugbear-chief,undead,19.56
Dustin,21,male,leeolivia,swarm-of-poisonous-snakes,giant,18.36
Ricardo,26,male,leeolivia,bugbear-chief,humanoid (any race),14.31
Ryan,54,male,ricardocunningham,darkling-elder,aberration,9.56
Michael,20,male,marysanders,wight,"monstrosity (shapechanger, yuan-ti)",6.27
Robert,27,male,schmidtmary,swarm-of-poisonous-snakes,monstrosity,10.59
Nathan,9,male,glopez,wight,fiend,11.26
Scott,33,male,gaillowe,hobgoblin-warlord,monstrosity,3.04
Billy,40,male,johnsonvicki,minotaur-skeleton,monstrosity,4.59
Donald,45,male,patelkathy,spy,beast,8.86
Travis,15,male,clawrence,tyrannosaurus-rex,monstrosity,8.18
